epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.6475,1.45661,2.88648,1.45909,0.51442,0.52814,0.5451,0.33887,1.30553,1.66624,1.35794,0.000236237,0.000236237,0.000236237
2,88.1628,1.37386,1.73489,1.35907,0.6039,0.66018,0.66498,0.41183,1.30441,1.39553,1.35026,0.000464847,0.000464847,0.000464847
3,134.354,1.3455,1.61601,1.35016,0.67246,0.69287,0.69281,0.43438,1.28038,1.29454,1.31722,0.000684032,0.000684032,0.000684032
4,180.853,1.33522,1.49731,1.3319,0.67444,0.67588,0.70076,0.44841,1.25989,1.22176,1.30689,0.000671588,0.000671588,0.000671588
5,226.642,1.31492,1.43817,1.31925,0.64357,0.70938,0.69971,0.44403,1.2626,1.17873,1.3079,0.000657451,0.000657451,0.000657451
6,271.684,1.30717,1.37781,1.31043,0.66592,0.6756,0.7107,0.46002,1.25526,1.13196,1.2847,0.000643314,0.000643314,0.000643314
7,315.014,1.2803,1.31424,1.30728,0.68744,0.6986,0.71781,0.45609,1.24813,1.14926,1.29562,0.000629177,0.000629177,0.000629177
8,361.497,1.25619,1.25881,1.28686,0.70102,0.70147,0.73242,0.48178,1.20923,1.07411,1.27945,0.00061504,0.00061504,0.00061504
9,408.04,1.24419,1.21437,1.27431,0.64116,0.75462,0.73839,0.47682,1.21021,1.0379,1.27914,0.000600902,0.000600902,0.000600902
10,454.798,1.23549,1.20102,1.27398,0.73912,0.73844,0.75695,0.49739,1.19016,1.03363,1.26787,0.000586765,0.000586765,0.000586765
11,500.665,1.23737,1.17706,1.27178,0.73511,0.71293,0.76114,0.50017,1.17888,0.99894,1.24954,0.000572628,0.000572628,0.000572628
12,546.283,1.22276,1.1334,1.26189,0.68038,0.74432,0.74874,0.49157,1.21718,1.01899,1.25988,0.000558491,0.000558491,0.000558491
13,593.726,1.21523,1.12887,1.25768,0.74064,0.75031,0.75732,0.4962,1.19684,1.00218,1.25678,0.000544354,0.000544354,0.000544354
14,638.204,1.19749,1.10067,1.24873,0.71993,0.73127,0.75892,0.49994,1.21723,0.99654,1.27098,0.000530216,0.000530216,0.000530216
15,682.287,1.19919,1.07653,1.24813,0.71285,0.74585,0.75718,0.50043,1.19383,1.03235,1.2702,0.000516079,0.000516079,0.000516079
16,728.417,1.19068,1.06905,1.24369,0.7384,0.75176,0.76942,0.5086,1.17653,0.98727,1.25284,0.000501942,0.000501942,0.000501942
17,773.018,1.19847,1.06825,1.2465,0.71334,0.75105,0.77397,0.51503,1.17229,0.95974,1.24081,0.000487805,0.000487805,0.000487805
18,817.961,1.1729,1.03251,1.22834,0.74513,0.75701,0.77265,0.51605,1.17412,0.94675,1.25323,0.000473668,0.000473668,0.000473668
19,859.419,1.17694,1.0291,1.23934,0.70814,0.76613,0.77045,0.51338,1.1698,0.95137,1.23636,0.00045953,0.00045953,0.00045953
20,904.326,1.17626,1.01365,1.2345,0.73842,0.73862,0.77488,0.52264,1.15077,0.93581,1.23046,0.000445393,0.000445393,0.000445393
21,949.228,1.16713,0.99696,1.22812,0.70904,0.76368,0.77527,0.51195,1.17734,0.93926,1.24859,0.000431256,0.000431256,0.000431256
22,993.133,1.15932,0.99416,1.22382,0.76539,0.75432,0.78218,0.5263,1.15853,0.90147,1.24358,0.000417119,0.000417119,0.000417119
23,1031.78,1.14998,0.9649,1.21249,0.7449,0.75941,0.78287,0.52649,1.17784,0.90722,1.23714,0.000402982,0.000402982,0.000402982
24,1077.55,1.14477,0.95262,1.21698,0.77114,0.74558,0.7758,0.52413,1.16078,0.90707,1.23647,0.000388844,0.000388844,0.000388844
25,1124.31,1.1284,0.94278,1.2069,0.75106,0.75089,0.77425,0.51919,1.15559,0.903,1.24121,0.000374707,0.000374707,0.000374707
