epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.1133,1.459,2.7537,1.45629,0.54591,0.62425,0.59924,0.36487,1.31003,1.43082,1.33927,0.000237115,0.000237115,0.000237115
2,113.763,1.39065,1.75652,1.37085,0.69389,0.65155,0.66654,0.41429,1.28085,1.37016,1.32652,0.000465708,0.000465708,0.000465708
3,169.056,1.35161,1.60899,1.34623,0.64283,0.68379,0.68301,0.42489,1.28544,1.23471,1.32035,0.000684876,0.000684876,0.000684876
4,217.233,1.34425,1.52276,1.33824,0.65055,0.7037,0.69834,0.4427,1.28278,1.2099,1.29483,0.000671588,0.000671588,0.000671588
5,263.994,1.3185,1.45841,1.32795,0.70791,0.71762,0.71492,0.45319,1.23145,1.17072,1.28525,0.000657451,0.000657451,0.000657451
6,312.581,1.30896,1.38204,1.32062,0.64089,0.70708,0.69834,0.44671,1.26015,1.19591,1.29892,0.000643314,0.000643314,0.000643314
7,359.734,1.28731,1.31297,1.30631,0.69576,0.68767,0.71547,0.4616,1.24992,1.11316,1.29529,0.000629177,0.000629177,0.000629177
8,513.593,1.26848,1.27377,1.29653,0.76519,0.66689,0.7348,0.4759,1.216,1.07102,1.27907,0.00061504,0.00061504,0.00061504
9,562.716,1.2483,1.24076,1.27689,0.77069,0.69586,0.73286,0.47896,1.20215,1.05413,1.26415,0.000600902,0.000600902,0.000600902
10,608.59,1.25568,1.21585,1.289,0.77866,0.69233,0.74466,0.48855,1.20892,1.02841,1.26706,0.000586765,0.000586765,0.000586765
11,656.468,1.25532,1.19827,1.28627,0.70838,0.74201,0.75084,0.49538,1.19286,1.01491,1.27226,0.000572628,0.000572628,0.000572628
12,708.124,1.23108,1.16932,1.27782,0.79653,0.69357,0.75322,0.49565,1.1875,0.9946,1.25741,0.000558491,0.000558491,0.000558491
13,754.696,1.23227,1.14391,1.2699,0.71949,0.74234,0.75557,0.49323,1.18797,1.01438,1.25429,0.000544354,0.000544354,0.000544354
14,804.179,1.21241,1.11608,1.25839,0.72322,0.74346,0.76824,0.51025,1.19252,0.97055,1.25356,0.000530216,0.000530216,0.000530216
15,846.094,1.21096,1.09951,1.2546,0.75125,0.73691,0.76603,0.50652,1.18054,0.97456,1.25792,0.000516079,0.000516079,0.000516079
16,879.889,1.20781,1.07853,1.25599,0.73113,0.74894,0.76762,0.50388,1.17566,0.95975,1.25808,0.000501942,0.000501942,0.000501942
17,914.412,1.18462,1.05942,1.24336,0.75718,0.72845,0.76339,0.50786,1.16824,0.94704,1.25763,0.000487805,0.000487805,0.000487805
18,949.768,1.178,1.04909,1.24142,0.72534,0.74278,0.75978,0.49966,1.17969,0.96063,1.24787,0.000473668,0.000473668,0.000473668
19,985.737,1.16891,1.03034,1.23571,0.76486,0.72684,0.76882,0.51228,1.15981,0.92444,1.24586,0.00045953,0.00045953,0.00045953
20,1021.92,1.17688,1.03702,1.23913,0.76167,0.74302,0.7739,0.51684,1.15654,0.93015,1.24326,0.000445393,0.000445393,0.000445393
21,1058.16,1.16777,1.01634,1.23385,0.72122,0.75253,0.76994,0.51564,1.16712,0.91001,1.24546,0.000431256,0.000431256,0.000431256
22,1093.83,1.16809,1.00503,1.23176,0.78273,0.73833,0.77471,0.52344,1.15193,0.91922,1.23566,0.000417119,0.000417119,0.000417119
23,1130.16,1.15886,0.98852,1.2219,0.77719,0.72775,0.77602,0.51802,1.15693,0.9196,1.23736,0.000402982,0.000402982,0.000402982
24,1166.73,1.14968,0.97794,1.22257,0.76706,0.73463,0.77111,0.52085,1.1506,0.90292,1.2365,0.000388844,0.000388844,0.000388844
25,1240.19,1.13667,0.97145,1.21525,0.70357,0.75608,0.77149,0.51928,1.16857,0.92182,1.24716,0.000374707,0.000374707,0.000374707
26,1275.74,1.12544,0.94697,1.20418,0.74737,0.75911,0.7806,0.52396,1.16446,0.89215,1.24262,0.00036057,0.00036057,0.00036057
27,1311.17,1.13693,0.93725,1.21139,0.76424,0.76445,0.78125,0.5289,1.15795,0.88592,1.2352,0.000346433,0.000346433,0.000346433
28,1347.16,1.12377,0.92619,1.20492,0.77355,0.74008,0.77977,0.52386,1.1607,0.89811,1.24023,0.000332296,0.000332296,0.000332296
29,1382.85,1.11514,0.92347,1.20274,0.77379,0.764,0.78575,0.52627,1.1626,0.87786,1.24055,0.000318158,0.000318158,0.000318158
30,1418.86,1.1213,0.91867,1.20257,0.75969,0.75095,0.77634,0.52335,1.15518,0.89246,1.23791,0.000304021,0.000304021,0.000304021
31,1454.52,1.11706,0.90847,1.20263,0.72894,0.76464,0.76023,0.51042,1.16331,0.89776,1.23781,0.000289884,0.000289884,0.000289884
32,1490.64,1.10391,0.89598,1.19251,0.72359,0.78602,0.78709,0.52633,1.16542,0.86732,1.23746,0.000275747,0.000275747,0.000275747
33,1529.41,1.09387,0.88096,1.19042,0.77121,0.75515,0.7909,0.53156,1.14883,0.87282,1.22942,0.00026161,0.00026161,0.00026161
34,1569.05,1.095,0.87486,1.18898,0.76943,0.75563,0.77978,0.52855,1.14485,0.86898,1.23183,0.000247472,0.000247472,0.000247472
35,1607.08,1.09401,0.86583,1.18831,0.77277,0.74818,0.78063,0.52807,1.15618,0.87146,1.23707,0.000233335,0.000233335,0.000233335
36,1643.85,1.08475,0.86418,1.18337,0.72818,0.77664,0.78235,0.5257,1.15672,0.85858,1.23397,0.000219198,0.000219198,0.000219198
37,1679.8,1.0843,0.86302,1.18141,0.76601,0.76251,0.77854,0.52745,1.15496,0.86455,1.23091,0.000205061,0.000205061,0.000205061
38,1715.56,1.06698,0.8543,1.17476,0.75483,0.76409,0.77642,0.52887,1.14639,0.87207,1.23557,0.000190924,0.000190924,0.000190924
39,1750.83,1.06914,0.84252,1.1717,0.76099,0.76691,0.77487,0.52943,1.14977,0.863,1.23197,0.000176786,0.000176786,0.000176786
40,1786.61,1.07511,0.8461,1.17655,0.74075,0.74391,0.77004,0.52539,1.15325,0.87266,1.23563,0.000162649,0.000162649,0.000162649
41,1846.31,1.02291,0.7398,1.16616,0.7368,0.75754,0.7793,0.52865,1.14166,0.86149,1.23193,0.000148512,0.000148512,0.000148512
42,1879.9,1.00261,0.72708,1.1517,0.76086,0.76364,0.78183,0.52842,1.14455,0.86527,1.22937,0.000134375,0.000134375,0.000134375
43,1913.86,1.00678,0.71153,1.1517,0.73798,0.76785,0.77457,0.52778,1.15077,0.86902,1.23413,0.000120238,0.000120238,0.000120238
44,1947.97,0.99137,0.6998,1.14548,0.74049,0.76706,0.77437,0.52849,1.14849,0.86582,1.23497,0.0001061,0.0001061,0.0001061
45,1984.04,0.99713,0.6915,1.14442,0.7677,0.75251,0.7731,0.52313,1.1561,0.87776,1.23775,9.19632e-05,9.19632e-05,9.19632e-05
46,2019.17,0.98072,0.67773,1.13765,0.73569,0.75967,0.77205,0.52861,1.14769,0.86164,1.23913,7.7826e-05,7.7826e-05,7.7826e-05
47,2054.82,0.97723,0.66735,1.13679,0.77504,0.75035,0.77712,0.52618,1.14559,0.86324,1.23394,6.36888e-05,6.36888e-05,6.36888e-05
48,2089.94,0.97055,0.66366,1.13315,0.75035,0.77528,0.78307,0.53127,1.14511,0.86035,1.23583,4.95516e-05,4.95516e-05,4.95516e-05
49,2124.72,0.96442,0.65625,1.12529,0.75697,0.76013,0.77991,0.52983,1.15108,0.85649,1.23607,3.54144e-05,3.54144e-05,3.54144e-05
50,2159.91,0.97054,0.65785,1.13325,0.76707,0.75592,0.77628,0.52841,1.14622,0.86258,1.23622,2.12772e-05,2.12772e-05,2.12772e-05
