epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,728.173,1.4846,2.87548,1.38239,0.73209,0.18575,0.18067,0.11862,1.29755,1.57916,1.22551,0.00333187,0.00333187,0.00333187
2,1113.79,1.37831,1.82214,1.30114,0.61524,0.22147,0.20072,0.13197,1.31072,1.50029,1.24478,0.00659922,0.00659922,0.00659922
3,1477.69,1.40686,1.77589,1.31374,0.57217,0.21011,0.21266,0.13738,1.31019,1.45851,1.24366,0.00980057,0.00980057,0.00980057
4,1848.2,1.40079,1.7132,1.31307,0.64904,0.21076,0.22894,0.15059,1.25619,1.34442,1.21444,0.009703,0.009703,0.009703
5,2193.09,1.34405,1.58722,1.27862,0.56105,0.23308,0.24351,0.16368,1.2271,1.27074,1.18825,0.009604,0.009604,0.009604
6,2536.04,1.31128,1.50868,1.2601,0.59906,0.2468,0.26467,0.17713,1.17601,1.20947,1.16825,0.009505,0.009505,0.009505
7,2878.59,1.28732,1.45813,1.24405,0.51851,0.27655,0.27123,0.18102,1.16111,1.18201,1.151,0.009406,0.009406,0.009406
8,3222.36,1.26585,1.41912,1.23017,0.63196,0.26337,0.28043,0.19221,1.14207,1.1358,1.13833,0.009307,0.009307,0.009307
9,3573.78,1.25321,1.39314,1.22062,0.61274,0.26166,0.28703,0.19777,1.12292,1.12105,1.12469,0.009208,0.009208,0.009208
10,3930.77,1.24197,1.37124,1.21259,0.55577,0.28268,0.29816,0.20558,1.10515,1.09413,1.11276,0.009109,0.009109,0.009109
11,4287.26,1.23234,1.34832,1.2076,0.57128,0.30071,0.30146,0.20831,1.09709,1.07542,1.10745,0.00901,0.00901,0.00901
12,4642.77,1.22601,1.33171,1.20147,0.5849,0.29606,0.31589,0.22014,1.08312,1.05284,1.09819,0.008911,0.008911,0.008911
13,4997.68,1.21289,1.31261,1.19375,0.55855,0.30445,0.32138,0.22779,1.07719,1.03668,1.09399,0.008812,0.008812,0.008812
14,5354.53,1.20928,1.30371,1.18897,0.55249,0.31427,0.32887,0.23184,1.06764,1.02267,1.0862,0.008713,0.008713,0.008713
15,5712.38,1.20242,1.29258,1.18729,0.5774,0.3101,0.32862,0.23202,1.05803,1.01172,1.0827,0.008614,0.008614,0.008614
16,6067.7,1.19522,1.27667,1.18249,0.51906,0.32014,0.33538,0.23839,1.0536,1.00299,1.08073,0.008515,0.008515,0.008515
17,6425.12,1.19184,1.27355,1.17969,0.51306,0.33675,0.33391,0.23984,1.04729,0.99617,1.07814,0.008416,0.008416,0.008416
18,6783.19,1.18628,1.26173,1.17557,0.5725,0.3184,0.33725,0.24388,1.04007,0.98784,1.07258,0.008317,0.008317,0.008317
19,7139.93,1.18489,1.25721,1.17512,0.58417,0.31873,0.34255,0.24792,1.03765,0.98,1.07158,0.008218,0.008218,0.008218
20,7496.59,1.17991,1.24973,1.17244,0.55455,0.32416,0.34496,0.24926,1.03641,0.97532,1.06993,0.008119,0.008119,0.008119
21,7853.24,1.17403,1.23996,1.16906,0.55038,0.34632,0.34674,0.24999,1.03382,0.97007,1.06845,0.00802,0.00802,0.00802
22,8206.38,1.17233,1.23636,1.16741,0.49838,0.35226,0.34576,0.24913,1.03101,0.9666,1.0665,0.007921,0.007921,0.007921
23,8561.33,1.16816,1.22831,1.16555,0.55201,0.34694,0.34872,0.25219,1.02541,0.96127,1.06436,0.007822,0.007822,0.007822
24,8917.78,1.16587,1.22326,1.1646,0.54978,0.35054,0.34904,0.25207,1.02501,0.95764,1.06383,0.007723,0.007723,0.007723
25,9275.72,1.16042,1.2176,1.16018,0.57294,0.34027,0.35233,0.25548,1.0235,0.95409,1.06229,0.007624,0.007624,0.007624
26,9631.57,1.15932,1.21039,1.15922,0.57559,0.34468,0.35355,0.25594,1.02143,0.95144,1.06168,0.007525,0.007525,0.007525
27,9988.18,1.15471,1.20626,1.15893,0.59008,0.34144,0.35467,0.25725,1.01917,0.94934,1.06037,0.007426,0.007426,0.007426
28,10343.1,1.15602,1.20181,1.15856,0.59242,0.34019,0.35614,0.25837,1.01758,0.94653,1.05933,0.007327,0.007327,0.007327
29,10698.7,1.15099,1.20194,1.15567,0.5895,0.34049,0.35661,0.2591,1.01707,0.94487,1.05897,0.007228,0.007228,0.007228
30,11052.9,1.1469,1.18994,1.15275,0.58483,0.34431,0.35828,0.26039,1.01586,0.9424,1.05842,0.007129,0.007129,0.007129
31,11408.5,1.14636,1.18747,1.1536,0.60669,0.34527,0.35825,0.26031,1.01484,0.93974,1.05807,0.00703,0.00703,0.00703
32,11763.3,1.14307,1.18211,1.15137,0.59993,0.35102,0.35913,0.26125,1.01398,0.93806,1.05758,0.006931,0.006931,0.006931
33,12119.2,1.14414,1.18318,1.15178,0.61254,0.34658,0.35992,0.26167,1.01308,0.93613,1.05679,0.006832,0.006832,0.006832
34,12473.1,1.14364,1.18215,1.1511,0.6161,0.34689,0.36077,0.26201,1.01272,0.93485,1.05643,0.006733,0.006733,0.006733
35,12828.4,1.13819,1.17401,1.14839,0.59377,0.34773,0.36201,0.26282,1.01169,0.93347,1.05569,0.006634,0.006634,0.006634
36,13185.2,1.13658,1.17339,1.14881,0.61518,0.34253,0.36141,0.26263,1.01077,0.93212,1.05517,0.006535,0.006535,0.006535
37,13542.8,1.13362,1.16325,1.14626,0.59552,0.34237,0.36174,0.26307,1.00995,0.93044,1.05466,0.006436,0.006436,0.006436
38,13898.5,1.13135,1.16382,1.14405,0.60491,0.34388,0.36289,0.26382,1.00906,0.92949,1.05406,0.006337,0.006337,0.006337
39,14254,1.13186,1.16323,1.14644,0.61014,0.34397,0.36335,0.2642,1.00827,0.9276,1.05359,0.006238,0.006238,0.006238
40,14607.8,1.12977,1.15781,1.14267,0.60485,0.34084,0.36415,0.26469,1.00713,0.92609,1.05307,0.006139,0.006139,0.006139
41,14960.9,1.12812,1.1556,1.14229,0.62821,0.34245,0.36449,0.26551,1.0064,0.92499,1.05279,0.00604,0.00604,0.00604
42,15316,1.1233,1.15178,1.14075,0.60467,0.34919,0.36574,0.26625,1.00544,0.92325,1.05234,0.005941,0.005941,0.005941
43,15672.1,1.12478,1.15019,1.13977,0.60719,0.34733,0.36615,0.26637,1.00501,0.92232,1.05177,0.005842,0.005842,0.005842
44,16027.2,1.12073,1.14479,1.13889,0.60983,0.3463,0.36671,0.26674,1.00421,0.92081,1.05133,0.005743,0.005743,0.005743
45,16381.8,1.1191,1.14637,1.13886,0.6021,0.34721,0.36722,0.26743,1.00313,0.91946,1.05085,0.005644,0.005644,0.005644
46,16736.4,1.11693,1.13549,1.1367,0.59764,0.34674,0.36809,0.26811,1.00197,0.91838,1.05032,0.005545,0.005545,0.005545
47,17089.4,1.11441,1.13319,1.135,0.60468,0.34647,0.36931,0.26861,1.00116,0.91703,1.04996,0.005446,0.005446,0.005446
48,17444.9,1.11201,1.12935,1.13505,0.60945,0.3474,0.36977,0.26895,0.99998,0.91579,1.04924,0.005347,0.005347,0.005347
49,17799.7,1.11087,1.12826,1.13404,0.6193,0.34452,0.37031,0.26995,0.99885,0.91402,1.04858,0.005248,0.005248,0.005248
50,18154.4,1.1079,1.12339,1.13158,0.60535,0.34907,0.37172,0.27103,0.99803,0.91217,1.0482,0.005149,0.005149,0.005149
51,18511.1,1.10894,1.11969,1.1315,0.61102,0.34778,0.37178,0.27124,0.99737,0.91155,1.04772,0.00505,0.00505,0.00505
52,18864.6,1.10617,1.12062,1.13063,0.62781,0.34448,0.37222,0.27171,0.99691,0.91067,1.04736,0.004951,0.004951,0.004951
53,19218.1,1.10276,1.11411,1.12966,0.65863,0.34117,0.37287,0.27245,0.99659,0.90972,1.04704,0.004852,0.004852,0.004852
54,19572.7,1.10471,1.11629,1.12973,0.65855,0.3406,0.37392,0.27331,0.99614,0.90868,1.04666,0.004753,0.004753,0.004753
55,19924.5,1.10229,1.1092,1.12906,0.65425,0.34092,0.37507,0.27437,0.99548,0.90767,1.04617,0.004654,0.004654,0.004654
56,20271.3,1.09679,1.10478,1.12507,0.60725,0.34856,0.37621,0.2742,0.99506,0.90622,1.04569,0.004555,0.004555,0.004555
57,20654.2,1.09901,1.1057,1.12753,0.64523,0.3443,0.37712,0.27515,0.99461,0.90559,1.04539,0.004456,0.004456,0.004456
58,21241.7,1.09485,1.10044,1.12498,0.64387,0.34438,0.37791,0.27562,0.9942,0.90415,1.04496,0.004357,0.004357,0.004357
59,21835.7,1.09302,1.09901,1.12428,0.61753,0.34723,0.37782,0.2759,0.9935,0.90271,1.04455,0.004258,0.004258,0.004258
60,22418.7,1.0923,1.09231,1.12273,0.63591,0.34527,0.37773,0.27636,0.99302,0.9017,1.04401,0.004159,0.004159,0.004159
61,22867.2,1.09103,1.09485,1.12165,0.6021,0.34911,0.3785,0.27711,0.99286,0.90072,1.04366,0.00406,0.00406,0.00406
62,23293.2,1.09243,1.09401,1.12281,0.60372,0.34897,0.37931,0.27773,0.99235,0.89923,1.04311,0.003961,0.003961,0.003961
63,23776.8,1.08545,1.08615,1.11996,0.59711,0.3527,0.38003,0.2787,0.99176,0.89796,1.0425,0.003862,0.003862,0.003862
64,24273,1.08537,1.08666,1.12022,0.5999,0.35974,0.38208,0.27996,0.99136,0.89705,1.04202,0.003763,0.003763,0.003763
65,24753.6,1.08413,1.0827,1.11906,0.60122,0.36002,0.38289,0.28044,0.99096,0.89572,1.04148,0.003664,0.003664,0.003664
66,25237.5,1.08204,1.0781,1.11883,0.60589,0.35781,0.38346,0.28082,0.99002,0.89418,1.04071,0.003565,0.003565,0.003565
67,25711.4,1.08017,1.07948,1.11711,0.60698,0.35904,0.38369,0.28192,0.98911,0.89278,1.04017,0.003466,0.003466,0.003466
68,26180.4,1.07598,1.07189,1.11504,0.60627,0.35964,0.3843,0.28251,0.98821,0.89115,1.03945,0.003367,0.003367,0.003367
69,26652.8,1.07822,1.06919,1.11464,0.60484,0.35942,0.38494,0.28306,0.98698,0.88982,1.03877,0.003268,0.003268,0.003268
70,27121.2,1.07648,1.06784,1.11465,0.59312,0.36512,0.38579,0.2842,0.98592,0.88859,1.03804,0.003169,0.003169,0.003169
71,27589.6,1.0733,1.0643,1.11309,0.59746,0.3646,0.38644,0.28429,0.98513,0.88757,1.0373,0.00307,0.00307,0.00307
72,28057.5,1.07006,1.06056,1.11145,0.60229,0.36355,0.38766,0.28522,0.98436,0.8868,1.03672,0.002971,0.002971,0.002971
73,28514,1.06994,1.05933,1.11217,0.60955,0.35975,0.38833,0.2857,0.98392,0.88609,1.03622,0.002872,0.002872,0.002872
74,28975.7,1.06657,1.05321,1.11113,0.61199,0.36113,0.38888,0.28647,0.98314,0.88495,1.03561,0.002773,0.002773,0.002773
75,29443.7,1.0677,1.05427,1.11118,0.61259,0.36266,0.38994,0.28719,0.98261,0.88357,1.03518,0.002674,0.002674,0.002674
76,29911.8,1.06287,1.04624,1.10614,0.61154,0.36259,0.3902,0.28724,0.98194,0.8827,1.03467,0.002575,0.002575,0.002575
77,30380.8,1.06099,1.045,1.10721,0.61068,0.36337,0.39025,0.28737,0.98183,0.88171,1.03427,0.002476,0.002476,0.002476
78,30849.7,1.05966,1.0424,1.10597,0.60569,0.36737,0.39083,0.28791,0.98125,0.88047,1.03385,0.002377,0.002377,0.002377
79,31313.5,1.05565,1.03642,1.10576,0.60683,0.3682,0.39123,0.28865,0.9804,0.87981,1.03325,0.002278,0.002278,0.002278
80,31772.1,1.05439,1.03496,1.10328,0.60572,0.36739,0.39213,0.28918,0.98013,0.87906,1.03268,0.002179,0.002179,0.002179
81,32240.3,1.05297,1.03134,1.10287,0.60766,0.36875,0.39225,0.28932,0.97935,0.87834,1.03208,0.00208,0.00208,0.00208
82,32711.7,1.04932,1.02644,1.10083,0.61356,0.36233,0.39331,0.29021,0.97839,0.87715,1.03141,0.001981,0.001981,0.001981
83,33166.3,1.04479,1.02072,1.0992,0.60998,0.36562,0.39268,0.29006,0.9779,0.87677,1.03074,0.001882,0.001882,0.001882
84,33633.8,1.04716,1.01977,1.1004,0.61703,0.36258,0.39316,0.29037,0.97716,0.87572,1.03033,0.001783,0.001783,0.001783
85,34104.1,1.04437,1.01632,1.09895,0.61374,0.3642,0.39388,0.29083,0.97654,0.87463,1.02986,0.001684,0.001684,0.001684
86,34572.7,1.0379,1.00881,1.09737,0.60594,0.3682,0.39466,0.2915,0.97603,0.87381,1.02954,0.001585,0.001585,0.001585
87,35040.7,1.03942,1.01057,1.0966,0.60483,0.36977,0.39522,0.29178,0.97556,0.87312,1.02926,0.001486,0.001486,0.001486
88,35507.8,1.03862,1.0048,1.0961,0.61442,0.36569,0.39612,0.29208,0.97513,0.87156,1.02881,0.001387,0.001387,0.001387
89,35972.6,1.0336,1.00247,1.09451,0.61939,0.36422,0.39642,0.29227,0.97423,0.87032,1.02812,0.001288,0.001288,0.001288
90,36432.3,1.03208,0.99669,1.09279,0.6217,0.36446,0.39655,0.29265,0.97352,0.86912,1.02764,0.001189,0.001189,0.001189
91,36898.3,1.00145,0.91189,1.07995,0.62592,0.3634,0.39614,0.29274,0.97302,0.86793,1.02722,0.00109,0.00109,0.00109
92,37340.5,0.99245,0.89768,1.07653,0.62372,0.36458,0.39678,0.29261,0.97261,0.86719,1.02679,0.000991,0.000991,0.000991
93,37778.3,0.98792,0.89077,1.07369,0.63562,0.36443,0.39762,0.29393,0.9719,0.8657,1.02634,0.000892,0.000892,0.000892
94,38220.1,0.98468,0.88608,1.07301,0.63898,0.36289,0.39844,0.29391,0.97143,0.86513,1.026,0.000793,0.000793,0.000793
95,38658.6,0.98112,0.87869,1.06989,0.64705,0.36689,0.40017,0.29491,0.97122,0.86447,1.02573,0.000694,0.000694,0.000694
96,39104.4,0.97848,0.87185,1.06843,0.61509,0.37998,0.4013,0.29592,0.97108,0.86391,1.02542,0.000595,0.000595,0.000595
97,39580.6,0.97337,0.86606,1.06524,0.638,0.3733,0.402,0.29637,0.97098,0.86317,1.02521,0.000496,0.000496,0.000496
98,40070.2,0.96963,0.86235,1.06335,0.64956,0.36915,0.4028,0.29726,0.97058,0.86204,1.02482,0.000397,0.000397,0.000397
99,40513.2,0.96763,0.85713,1.06292,0.64823,0.36751,0.40384,0.29826,0.97009,0.8609,1.02464,0.000298,0.000298,0.000298
100,40965.8,0.96664,0.8528,1.06214,0.65055,0.36788,0.40396,0.29878,0.96944,0.85978,1.02408,0.000199,0.000199,0.000199
